id,label,count_dots,count_delimiters,is_domain_ip,is_hyphen_present,count_sub_dir,count_sub_domain,count_queries,shady_tld,is_suspicious_part_hidden,is_tiny_url
15884,1,2,0,0,0,0,1,0,0,0,0
15885,1,2,0,0,0,1,1,0,0,0,0
15886,1,3,1,0,1,2,2,0,0,1,0
15887,1,3,0,0,0,5,2,0,0,0,0
15888,1,2,0,0,1,1,0,0,0,0,0
15889,1,3,1,0,1,2,2,0,0,1,0
15890,1,4,1,0,1,2,2,0,0,1,0
15891,1,4,1,0,1,2,2,0,0,0,0
15892,1,2,1,0,0,3,1,0,0,1,0
15893,1,2,0,0,1,2,1,0,0,0,0
15894,1,2,0,0,1,1,1,0,0,0,0
15895,1,1,0,0,0,2,0,0,0,0,0
15896,1,1,0,0,1,2,0,0,0,0,0
15897,1,1,1,0,0,7,0,0,0,1,0
15898,1,2,0,0,0,3,1,0,0,0,0
15899,1,3,0,0,0,1,1,0,0,0,0
15900,1,1,0,0,0,1,0,0,0,1,0
15901,1,3,2,0,0,1,1,1,0,0,0
15902,1,1,0,0,0,1,0,0,0,1,0
15903,1,2,0,0,0,3,1,0,0,0,0
15904,1,1,0,0,1,1,0,0,0,0,0
15905,1,4,4,0,0,5,1,1,0,1,0
15906,1,3,6,0,0,7,0,2,0,1,0
15907,1,1,2,0,0,6,0,0,0,1,0
15908,1,1,0,0,1,1,0,0,0,0,0
15909,1,2,1,0,0,4,0,0,0,1,0
15910,1,2,0,0,0,3,0,0,0,0,0
15911,1,4,1,0,1,2,2,0,0,1,0
15912,1,3,0,0,0,4,0,0,0,0,0
15913,1,2,0,0,0,5,0,0,0,1,0
15914,1,2,0,0,0,3,0,0,0,0,0
15915,1,4,1,0,1,2,2,0,0,1,0
15916,1,4,1,0,1,2,2,0,0,1,0
15917,1,4,1,0,1,2,2,0,0,1,0
15918,1,1,0,0,1,0,0,0,0,0,0
15919,1,2,0,0,0,1,1,0,0,0,0
15920,1,2,0,0,0,1,1,0,0,0,0
15921,1,2,0,0,1,0,1,0,1,0,0
